week,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,12968,12644,12455,11620,11448,12286,13045,11991,12723,10955,12254
2,12541,13133,12851,12541,11847,16237,11501,13715,15050,12609,14058
3,11762,11438,11813,11075,11061,14866,11473,13610,14256,11860,12990
4,11056,10555,11054,11262,10374,13934,11317,12877,13935,11740,11856
5,10524,10235,10615,11314,10258,12900,11052,12485,13285,11297,11612
6,10117,10019,10317,11044,10147,12039,11170,12269,12495,11660,10986
7,10102,9757,10402,11030,10198,11822,10590,11644,12246,11824,10944
8,10295,9433,10327,10850,10427,11434,11056,11794,12142,11295,10841
9,9981,9453,10158,10783,10377,11472,11285,11248,10854,11044,10816
10,9792,9648,9962,11245,9828,11469,11010,11077,12997,10898,10895
11,9729,9842,9909,11180,10005,10951,11022,10697,12788,10567,11019
12,9631,9707,9459,11075,9832,10568,9635,10325,11913,10402,10645
13,8004,9312,9392,9280,9622,10493,10286,10027,9941,9867,11141
14,9756,9557,9643,10890,9944,9062,11599,9939,10794,10126,
15,9892,9327,9694,12147,9504,10089,11417,8493,12301,10291,
